

Data
Lateral(µm),Raw(nm),,
0,NaN,,
0.344650685787201,NaN,,
0.689301371574402,NaN,,
1.03395199775696,NaN,,
1.3786027431488,NaN,,
1.72325348854065,-35280.8191693115,,
2.06790399551392,NaN,,
2.41255474090576,NaN,,
2.75720548629761,NaN,,
3.10185623168945,NaN,,
3.4465069770813,NaN,,
3.79115748405457,-25620.8167260742,,
4.13580799102783,NaN,,
4.48045873641968,NaN,,
4.82510948181152,NaN,,
5.16976022720337,NaN,,
5.51441097259521,NaN,,
5.85906171798706,NaN,,
6.20371246337891,NaN,,
6.54836320877075,NaN,,
6.8930139541626,NaN,,
7.23766422271729,NaN,,
7.58231496810913,-32409.5081262207,,
7.92696571350098,NaN,,
8.27161598205566,NaN,,
8.61626720428467,NaN,,
8.96091747283936,NaN,,
9.30556869506836,NaN,,
9.65021896362305,NaN,,
9.99487018585205,-31879.6995617676,,
10.3395204544067,-37839.9964672852,,
10.6841716766357,NaN,,
11.0288219451904,-39696.6948382568,,
11.3734722137451,-34383.1182067871,,
11.7181234359741,NaN,,
12.0627737045288,NaN,,
12.4074249267578,NaN,,
12.7520751953125,NaN,,
13.0967264175415,NaN,,
13.4413766860962,-38198.763868103,,
13.7860279083252,NaN,,
14.1306781768799,NaN,,
14.4753284454346,NaN,,
14.8199796676636,NaN,,
15.1646299362183,NaN,,
15.5092811584473,NaN,,
15.853931427002,NaN,,
16.1985816955566,NaN,,
16.5432319641113,-18244.8621594238,,
16.8878841400146,NaN,,
17.2325344085693,-23671.2812115479,,
17.577184677124,NaN,,
17.9218349456787,-40023.5927349854,,
18.266487121582,-44822.8270666504,,
18.6111373901367,NaN,,
18.9557876586914,NaN,,
19.3004379272461,NaN,,
19.6450881958008,NaN,,
19.9897403717041,NaN,,
20.3343906402588,-24702.1957617188,,
20.6790409088135,-25342.7923245239,,
21.0236911773682,NaN,,
21.3683433532715,NaN,,
21.7129936218262,-19238.301426239,,
22.0576438903809,NaN,,
22.4022941589355,NaN,,
22.7469444274902,-24505.1739434814,,
23.0915966033936,NaN,,
23.4362468719482,-43808.4418395996,,
23.7808971405029,NaN,,
24.1255474090576,NaN,,
24.4701995849609,NaN,,
24.8148498535156,NaN,,
25.1595001220703,NaN,,
25.504150390625,NaN,,
25.8488006591797,-28991.3598052979,,
26.193452835083,NaN,,
26.5381031036377,NaN,,
26.8827533721924,NaN,,
27.2274036407471,-20278.9911698914,,
27.5720558166504,-35099.8421173096,,
27.9167060852051,NaN,,
28.2613563537598,-31260.0477230835,,
28.6060066223145,-40358.6687652588,,
28.9506568908691,-42888.0408703613,,
29.2953090667725,-38351.246008606,,
29.6399593353271,NaN,,
29.9846096038818,-43358.7433837891,,
30.3292598724365,NaN,,
30.6739101409912,NaN,,
31.0185623168945,-42681.9410272217,,
31.3632125854492,NaN,,
31.7078628540039,NaN,,
32.0525131225586,NaN,,
32.3971633911133,NaN,,
32.741813659668,NaN,,
33.0864639282227,-33886.9195956421,,
33.4311180114746,NaN,,
33.7757682800293,-45410.3473449707,,
34.120418548584,-39788.2068670654,,
34.4650688171387,NaN,,
34.8097190856934,NaN,,
35.154369354248,NaN,,
35.4990196228027,-45981.392689209,,
35.8436698913574,-28878.6113293457,,
36.1883201599121,NaN,,
36.5329742431641,-33682.0731726074,,
36.8776245117188,NaN,,
37.2222747802734,NaN,,
37.5669250488281,-41703.7937329102,,
37.9115753173828,NaN,,
38.2562255859375,NaN,,
38.6008758544922,-34777.9331787109,,
38.9455261230469,NaN,,
39.2901763916016,NaN,,
39.6348304748535,NaN,,
39.9794807434082,-36091.6361157227,,
40.3241310119629,-27558.589375,,
40.6687812805176,NaN,,
41.0134315490723,-40821.6134240723,,
41.358081817627,NaN,,
41.7027320861816,NaN,,
42.0473823547363,NaN,,
42.392032623291,NaN,,
42.736686706543,-18540.200816803,,
43.0813369750977,-20795.3297946167,,
43.4259872436523,NaN,,
43.770637512207,NaN,,
44.1152877807617,-44072.0308959961,,
44.4599380493164,NaN,,
44.8045883178711,-12090.8710559082,,
45.1492385864258,-10788.0891905212,,
45.4938888549805,-12229.0043792725,,
45.8385429382324,-11145.8355607605,,
46.1831932067871,-6648.02651428223,,
46.5278434753418,-2250.72222961426,,
46.8724937438965,-4994.24746383667,,
47.2171440124512,-6997.80489044189,,
47.5617942810059,-2323.88043029785,,
47.9064445495605,119.916703948975,,
48.2510948181152,-5830.85470321655,,
48.5957450866699,-17898.2902642822,,
48.9403991699219,380.803614044189,,
49.2850494384766,5463.56058456421,,
49.6296997070313,5400.81046798706,,
49.9743499755859,5541.86967437744,,
50.3190002441406,5786.34592834473,,
50.6636505126953,5903.76815322876,,
51.00830078125,5956.53170074463,,
51.3529510498047,6041.59739242554,,
51.6976013183594,6067.97607589722,,
52.0422554016113,6145.20603775024,,
52.386905670166,6285.57178390503,,
52.7315559387207,6293.81666763306,,
53.0762062072754,6381.1802961731,,
53.4208564758301,6512.13797485352,,
53.7655067443848,6655.59524337769,,
54.1101570129395,6721.38743774414,,
54.4548072814941,6804.62491607666,,
54.7994575500488,6854.26480224609,,
55.1441116333008,6917.40058654785,,
