

Data
Lateral(µm),Raw(nm),,
0,NaN,,
0.344650685787201,NaN,,
0.689301371574402,NaN,,
1.03395199775696,NaN,,
1.3786027431488,NaN,,
1.72325348854065,NaN,,
2.06790399551392,NaN,,
2.41255474090576,NaN,,
2.75720548629761,NaN,,
3.10185623168945,NaN,,
3.4465069770813,NaN,,
3.79115748405457,NaN,,
4.13580799102783,NaN,,
4.48045873641968,NaN,,
4.82510948181152,NaN,,
5.16976022720337,NaN,,
5.51441097259521,NaN,,
5.85906171798706,NaN,,
6.20371246337891,NaN,,
6.54836320877075,NaN,,
6.8930139541626,NaN,,
7.23766422271729,NaN,,
7.58231496810913,NaN,,
7.92696571350098,NaN,,
8.27161598205566,NaN,,
8.61626720428467,NaN,,
8.96091747283936,NaN,,
9.30556869506836,NaN,,
9.65021896362305,NaN,,
9.99487018585205,NaN,,
10.3395204544067,NaN,,
10.6841716766357,NaN,,
11.0288219451904,-23534.2784049773,,
11.3734722137451,NaN,,
11.7181234359741,NaN,,
12.0627737045288,NaN,,
12.4074249267578,NaN,,
12.7520751953125,NaN,,
13.0967264175415,NaN,,
13.4413766860962,NaN,,
13.7860279083252,NaN,,
14.1306781768799,NaN,,
14.4753284454346,NaN,,
14.8199796676636,NaN,,
15.1646299362183,NaN,,
15.5092811584473,NaN,,
15.853931427002,-13586.9170508568,,
16.1985816955566,NaN,,
16.5432319641113,NaN,,
16.8878841400146,NaN,,
17.2325344085693,NaN,,
17.577184677124,NaN,,
17.9218349456787,NaN,,
18.266487121582,-12731.9853575335,,
18.6111373901367,-14124.8642052631,,
18.9557876586914,NaN,,
19.3004379272461,NaN,,
19.6450881958008,NaN,,
19.9897403717041,-10855.4835068009,,
20.3343906402588,NaN,,
20.6790409088135,NaN,,
21.0236911773682,NaN,,
21.3683433532715,NaN,,
21.7129936218262,-17509.6216818556,,
22.0576438903809,-12274.3742226699,,
22.4022941589355,-11004.3670018264,,
22.7469444274902,-10321.9542261734,,
23.0915966033936,NaN,,
23.4362468719482,NaN,,
23.7808971405029,-9524.36711467406,,
24.1255474090576,-9513.58850085574,,
24.4701995849609,-9501.30803151333,,
24.8148498535156,NaN,,
25.1595001220703,-9261.24160725194,,
25.504150390625,-9239.73846401467,,
25.8488006591797,-9191.63042835187,,
26.193452835083,-9047.33045797186,,
26.5381031036377,-8975.92908063426,,
26.8827533721924,-8860.39223500442,,
27.2274036407471,-8760.52932125934,,
27.5720558166504,-8796.8355685307,,
27.9167060852051,-8634.07420446824,,
28.2613563537598,-8505.61254560598,,
28.6060066223145,-8443.24592916315,,
28.9506568908691,-8371.84455182554,,
29.2953090667725,-8384.77587386497,,
29.6399593353271,-8276.47153418605,,
29.9846096038818,-8198.69922270538,,
30.3292598724365,-8149.26112783848,,
30.6739101409912,-7947.49169843788,,
31.0185623168945,-7851.57448577882,,
31.3632125854492,-7882.80522330938,,
31.7078628540039,-7800.76584456797,,
32.0525131225586,-7683.81612006239,,
32.3971633911133,-7581.41917158831,,
32.741813659668,-7526.49272833274,,
33.0864639282227,-7445.72407529933,,
33.4311180114746,-7338.97605096994,,
33.7757682800293,-7252.28888170118,,
34.120418548584,-7200.03368188433,,
34.4650688171387,-7149.11348572958,,
34.8097190856934,-7149.46979134486,,
35.154369354248,-7120.93933716399,,
35.4990196228027,-7039.27079277316,,
35.8436698913574,-6932.59688812232,,
36.1883201599121,-6824.68934119854,,
36.5329742431641,-6741.33601993311,,
36.8776245117188,-6649.59437846587,,
37.2222747802734,-6595.70379916293,,
37.5669250488281,-6485.79251063148,,
37.9115753173828,-6447.40527941203,,
38.2562255859375,-6411.42229089889,,
38.6008758544922,-6367.26240495533,,
38.9455261230469,-6295.60144357231,,
39.2901763916016,-6181.08068406307,,
39.6348304748535,-6110.69173169413,,
39.9794807434082,-6073.62714299178,,
40.3241310119629,-5979.24639706287,,
40.6687812805176,-5898.26142399162,,
41.0134315490723,-5829.35576183346,,
41.358081817627,-5758.36230228149,,
41.7027320861816,-5704.66950129887,,
42.0473823547363,-5694.97372378426,,
42.392032623291,-5627.01492533459,,
42.736686706543,-5558.83985403865,,
43.0813369750977,-5511.57114012268,,
43.4259872436523,-5435.64434759342,,
43.770637512207,-5356.97585309883,,
44.1152877807617,-5330.94605855542,,
44.4599380493164,-5273.21363538041,,
44.8045883178711,-5178.32299221944,,
45.1492385864258,-5112.17262928613,,
45.4938888549805,-5051.32025310819,,
45.8385429382324,-4997.59597839733,,
46.1831932067871,-4932.82202896194,,
46.5278434753418,-4878.37705230488,,
46.8724937438965,-4830.01375899743,,
47.2171440124512,-4784.30193129666,,
47.5617942810059,-4735.94852690522,,
47.9064445495605,-4667.26907370092,,
48.2510948181152,-4600.38075040994,,
48.5957450866699,-4532.01959668989,,
48.9403991699219,-4486.21448953579,,
49.2850494384766,-4409.92736962922,,
49.6296997070313,-4335.53274102513,,
49.9743499755859,-4248.54890427591,,
50.3190002441406,-4212.79212471662,,
50.6636505126953,-4170.11619423265,,
51.00830078125,-4107.385542069,,
51.3529510498047,-4017.35715530146,,
51.6976013183594,-3958.2989993231,,
52.0422554016113,-3950.1434676695,,
