

Data
Lateral(µm),Raw(nm),,
0,NaN,,
0.344650685787201,NaN,,
0.689301371574402,NaN,,
1.03395199775696,NaN,,
1.3786027431488,-26548.241269406,,
1.72325348854065,NaN,,
2.06790399551392,NaN,,
2.41255474090576,NaN,,
2.75720548629761,NaN,,
3.10185623168945,NaN,,
3.4465069770813,NaN,,
3.79115748405457,NaN,,
4.13580799102783,NaN,,
4.48045873641968,NaN,,
4.82510948181152,NaN,,
5.16976022720337,-48178.3030407257,,
5.51441097259521,NaN,,
5.85906171798706,NaN,,
6.20371246337891,NaN,,
6.54836320877075,NaN,,
6.8930139541626,NaN,,
7.23766422271729,NaN,,
7.58231496810913,NaN,,
7.92696571350098,NaN,,
8.27161598205566,NaN,,
8.61626720428467,NaN,,
8.96091747283936,NaN,,
9.30556869506836,NaN,,
9.65021896362305,NaN,,
9.99487018585205,NaN,,
10.3395204544067,NaN,,
10.6841716766357,NaN,,
11.0288219451904,NaN,,
11.3734722137451,NaN,,
11.7181234359741,NaN,,
12.0627737045288,NaN,,
12.4074249267578,NaN,,
12.7520751953125,NaN,,
13.0967264175415,NaN,,
13.4413766860962,NaN,,
13.7860279083252,NaN,,
14.1306781768799,NaN,,
14.4753284454346,NaN,,
14.8199796676636,NaN,,
15.1646299362183,NaN,,
15.5092811584473,NaN,,
15.853931427002,NaN,,
16.1985816955566,NaN,,
16.5432319641113,-17134.4428579295,,
16.8878841400146,NaN,,
17.2325344085693,-18190.4925499786,,
17.577184677124,NaN,,
17.9218349456787,NaN,,
18.266487121582,NaN,,
18.6111373901367,NaN,,
18.9557876586914,NaN,,
19.3004379272461,NaN,,
19.6450881958008,NaN,,
19.9897403717041,NaN,,
20.3343906402588,-15218.2217923183,,
20.6790409088135,NaN,,
21.0236911773682,-20367.2060527841,,
21.3683433532715,-17651.5576707679,,
21.7129936218262,NaN,,
22.0576438903809,-14655.9775478414,,
22.4022941589355,NaN,,
22.7469444274902,-14574.8921281313,,
23.0915966033936,NaN,,
23.4362468719482,-10215.4673258567,,
23.7808971405029,-10182.0242396437,,
24.1255474090576,-10002.7802118108,,
24.4701995849609,-9998.27333629488,,
24.8148498535156,-9835.82934065802,,
25.1595001220703,-9745.36676469889,,
25.504150390625,-9616.28797169875,,
25.8488006591797,-9531.56343925768,,
26.193452835083,-9447.45202593049,,
26.5381031036377,-9442.97357472722,,
26.8827533721924,-9395.79231193948,,
27.2274036407471,-9319.79969234021,,
27.5720558166504,-9195.68761372982,,
27.9167060852051,-9105.76151146453,,
28.2613563537598,-9069.39748668338,,
28.6060066223145,-8941.68212797889,,
28.9506568908691,-8851.42351091258,,
29.2953090667725,-8777.77951518793,,
29.6399593353271,-8736.54643538359,,
29.9846096038818,-8692.67301500307,,
30.3292598724365,-8587.93084431738,,
30.6739101409912,-8505.80956901743,,
31.0185623168945,-8405.27019395928,,
31.3632125854492,-8355.9133696481,,
31.7078628540039,-8265.05894539185,,
32.0525131225586,-8093.52332759312,,
32.3971633911133,-7981.27917799508,,
32.741813659668,-8033.85606385846,,
33.0864639282227,-7991.94435719254,,
33.4311180114746,-7886.51862782907,,
33.7757682800293,-7752.14308418806,,
34.120418548584,-7662.71760829607,,
34.4650688171387,-7597.46064314626,,
34.8097190856934,-7573.92377855188,,
35.154369354248,-7490.31422139158,,
35.4990196228027,-7438.491348649,,
35.8436698913574,-7366.12548899846,,
36.1883201599121,-7322.86641752542,,
36.5329742431641,-7230.95018355379,,
36.8776245117188,-7093.12588045233,,
37.2222747802734,-7056.7124110911,,
37.5669250488281,-6943.50903663954,,
37.9115753173828,-6907.53933238451,,
38.2562255859375,-6859.28017775107,,
38.6008758544922,-6861.96006562861,,
38.9455261230469,-6715.81300358549,,
39.2901763916016,-6632.17625190615,,
39.6348304748535,-6602.91371758052,,
39.9794807434082,-6515.43388591461,,
40.3241310119629,-6467.91021940982,,
40.6687812805176,-6371.76646119972,,
41.0134315490723,-6278.55971104625,,
41.358081817627,-6209.77611122238,,
41.7027320861816,-6137.70753710956,,
42.0473823547363,-6075.47225385978,,
42.392032623291,-5994.69896142421,,
42.736686706543,-5939.0855562032,,
43.0813369750977,-5874.68398228875,,
43.4259872436523,-5827.70915062283,,
43.770637512207,-5793.84084102112,,
44.1152877807617,-5723.04670095982,,
44.4599380493164,-5650.17403436348,,
44.8045883178711,-5585.23227841168,,
45.1492385864258,-5531.81049156083,,
45.4938888549805,-5495.4637723827,,
45.8385429382324,-5400.57962749189,,
46.1831932067871,-5306.02983893205,,
46.5278434753418,-5242.56709398183,,
46.8724937438965,-5202.12512745874,,
47.2171440124512,-5168.60169380308,,
47.5617942810059,-5107.69090724214,,
47.9064445495605,-5026.59128057805,,
48.2510948181152,-4955.42012559366,,
48.5957450866699,-4886.44369190748,,
48.9403991699219,-4831.2684892774,,
49.2850494384766,-4795.97184936869,,
49.6296997070313,-4715.77520434828,,
49.9743499755859,-4675.97416319445,,
50.3190002441406,-4629.33370050131,,
50.6636505126953,-4567.36541798395,,
51.00830078125,-4505.75869895842,,
51.3529510498047,-4431.8823073865,,
51.6976013183594,-4374.02905004614,,
52.0422554016113,-4332.38868315521,,
