

Data
Lateral(µm),Raw(nm),,
0,-123.20142558236,,
0.344650685787201,-46.3526223523372,,
0.689301371574402,0,,
1.03395199775696,37.5502508946456,,
1.3786027431488,89.1291654505239,,
1.72325348854065,152.877627278131,,
2.06790399551392,253.081577640206,,
2.41255474090576,350.592034859659,,
2.75720548629761,417.189740614267,,
3.10185623168945,508.412083362284,,
3.4465069770813,598.170866539989,,
3.79115748405457,743.714260719203,,
4.13580799102783,847.583290579569,,
4.48045873641968,925.705291835887,,
4.82510948181152,984.794838105632,,
5.16976022720337,1038.41828604774,,
5.51441097259521,1098.96397520079,,
5.85906171798706,1169.64333104085,,
6.20371246337891,1207.86479228862,,
6.54836320877075,1262.52657641237,,
6.8930139541626,1326.70026162865,,
7.23766422271729,1382.00111623564,,
7.58231496810913,1447.5580135796,,
7.92696571350098,1542.27732425365,,
8.27161598205566,1637.44781600664,,
8.61626720428467,1700.79330522087,,
8.96091747283936,1809.05424954954,,
9.30556869506836,1894.17760405919,,
9.65021896362305,1967.91757869182,,
9.99487018585205,2032.61166882768,,
10.3395204544067,2066.78114602379,,
10.6841716766357,2110.75795710692,,
11.0288219451904,2177.80437171147,,
11.3734722137451,2222.10998782359,,
11.7181234359741,2275.30574086229,,
12.0627737045288,2318.2714088543,,
12.4074249267578,2348.75973849212,,
12.7520751953125,2377.89822966527,,
13.0967264175415,2406.98851380138,,
13.4413766860962,2449.99991802996,,
13.7860279083252,2510.70630278252,,
14.1306781768799,2557.06634119689,,
14.4753284454346,2605.05990492559,,
14.8199796676636,2688.95332550579,,
15.1646299362183,2749.73140347094,,
15.5092811584473,2825.71678152489,,
15.853931427002,2900.75158609832,,
16.1985816955566,3009.23626715184,,
16.5432319641113,3105.3313725523,,
16.8878841400146,3196.40043924487,,
17.2325344085693,3303.54579023553,,
17.577184677124,3359.89486994018,,
17.9218349456787,3382.64697553899,,
18.266487121582,3436.21541852856,,
18.6111373901367,3485.2813115877,,
18.9557876586914,3522.62018636682,,
19.3004379272461,3560.31320795074,,
