

Data
Lateral(µm),Raw(nm),,
0,NaN,,
0.344650685787201,NaN,,
0.689301371574402,NaN,,
1.03395199775696,NaN,,
1.3786027431488,NaN,,
1.72325348854065,-35983.2219687418,,
2.06790399551392,-37546.9529650105,,
2.41255474090576,NaN,,
2.75720548629761,NaN,,
3.10185623168945,NaN,,
3.4465069770813,NaN,,
3.79115748405457,NaN,,
4.13580799102783,-25770.3516926982,,
4.48045873641968,NaN,,
4.82510948181152,NaN,,
5.16976022720337,NaN,,
5.51441097259521,NaN,,
5.85906171798706,NaN,,
6.20371246337891,NaN,,
6.54836320877075,NaN,,
6.8930139541626,NaN,,
7.23766422271729,NaN,,
7.58231496810913,NaN,,
7.92696571350098,NaN,,
8.27161598205566,NaN,,
8.61626720428467,NaN,,
8.96091747283936,NaN,,
9.30556869506836,NaN,,
9.65021896362305,NaN,,
9.99487018585205,NaN,,
10.3395204544067,NaN,,
10.6841716766357,NaN,,
11.0288219451904,NaN,,
11.3734722137451,NaN,,
11.7181234359741,NaN,,
12.0627737045288,NaN,,
12.4074249267578,NaN,,
12.7520751953125,NaN,,
13.0967264175415,NaN,,
13.4413766860962,NaN,,
13.7860279083252,NaN,,
14.1306781768799,NaN,,
14.4753284454346,NaN,,
14.8199796676636,NaN,,
15.1646299362183,NaN,,
15.5092811584473,NaN,,
15.853931427002,NaN,,
16.1985816955566,NaN,,
16.5432319641113,NaN,,
16.8878841400146,-34585.0415782356,,
17.2325344085693,NaN,,
17.577184677124,NaN,,
17.9218349456787,NaN,,
18.266487121582,NaN,,
18.6111373901367,NaN,,
18.9557876586914,NaN,,
19.3004379272461,NaN,,
19.6450881958008,NaN,,
19.9897403717041,NaN,,
20.3343906402588,NaN,,
20.6790409088135,NaN,,
21.0236911773682,NaN,,
21.3683433532715,NaN,,
21.7129936218262,NaN,,
22.0576438903809,NaN,,
22.4022941589355,NaN,,
22.7469444274902,NaN,,
23.0915966033936,NaN,,
23.4362468719482,NaN,,
23.7808971405029,NaN,,
24.1255474090576,NaN,,
24.4701995849609,NaN,,
24.8148498535156,NaN,,
25.1595001220703,NaN,,
25.504150390625,NaN,,
25.8488006591797,NaN,,
26.193452835083,NaN,,
26.5381031036377,NaN,,
26.8827533721924,NaN,,
27.2274036407471,NaN,,
27.5720558166504,NaN,,
27.9167060852051,-23594.6731460851,,
28.2613563537598,NaN,,
28.6060066223145,NaN,,
28.9506568908691,NaN,,
29.2953090667725,NaN,,
29.6399593353271,NaN,,
29.9846096038818,NaN,,
30.3292598724365,NaN,,
30.6739101409912,NaN,,
31.0185623168945,NaN,,
31.3632125854492,NaN,,
31.7078628540039,NaN,,
32.0525131225586,NaN,,
32.3971633911133,NaN,,
32.741813659668,NaN,,
33.0864639282227,NaN,,
33.4311180114746,-17590.6084166119,,
33.7757682800293,NaN,,
34.120418548584,NaN,,
34.4650688171387,NaN,,
34.8097190856934,NaN,,
35.154369354248,NaN,,
35.4990196228027,-21329.7806145699,,
35.8436698913574,NaN,,
36.1883201599121,-16496.1460391984,,
36.5329742431641,-10982.6876898945,,
36.8776245117188,-14616.8795704522,,
37.2222747802734,-16954.0461708585,,
37.5669250488281,-20101.8047448366,,
37.9115753173828,NaN,,
38.2562255859375,NaN,,
38.6008758544922,-12573.0726045273,,
38.9455261230469,-8010.79441764112,,
39.2901763916016,-8029.31676877986,,
39.6348304748535,-7909.61809034391,,
39.9794807434082,-7751.76791600047,,
40.3241310119629,-7691.18388347222,,
40.6687812805176,-7647.9610791239,,
41.0134315490723,-7543.6754544936,,
41.358081817627,-7462.92421386599,,
41.7027320861816,-7430.27018850937,,
42.0473823547363,-7317.04498380094,,
42.392032623291,-7180.31753406688,,
42.736686706543,-7133.53972233015,,
43.0813369750977,-7120.32977808925,,
43.4259872436523,-7143.09200196969,,
43.770637512207,-7068.09363823417,,
44.1152877807617,-6893.52377913731,,
44.4599380493164,-6752.09785818133,,
44.8045883178711,-6654.16338986206,,
45.1492385864258,-6603.51895404401,,
45.4938888549805,-6546.31693079311,,
45.8385429382324,-6451.6483349072,,
46.1831932067871,-6431.18363465434,,
46.5278434753418,-6287.84173622033,,
46.8724937438965,-6231.4456596247,,
47.2171440124512,-6148.33096806935,,
47.5617942810059,-6067.14832348055,,
47.9064445495605,-5937.03532244644,,
48.2510948181152,-5881.3969840405,,
48.5957450866699,-5891.91054932109,,
48.9403991699219,-5864.88461121107,,
49.2850494384766,-5754.44560859004,,
49.6296997070313,-5645.34284574563,,
49.9743499755859,-5561.43456868003,,
50.3190002441406,-5495.32015987004,,
50.6636505126953,-5435.33687898974,,
51.00830078125,-5346.78451974029,,
51.3529510498047,-5321.61763992201,,
51.6976013183594,-5256.54403952266,,
52.0422554016113,-5173.03014090238,,
52.386905670166,-5064.23269833995,,
52.7315559387207,-4962.81609546868,,
53.0762062072754,-4902.54850825293,,
53.4208564758301,-4876.61029298542,,
53.7655067443848,-4816.71848457827,,
54.1101570129395,-4745.79682647018,,
54.4548072814941,-4688.58800458952,,
54.7994575500488,-4596.13694020092,,
55.1441116333008,-4522.82963902326,,
55.4887619018555,-4456.38704181301,,
55.8334121704102,-4435.10279764535,,
