

Data
Lateral(µm),Raw(nm),,
0,NaN,,
0.344650685787201,NaN,,
0.689301371574402,NaN,,
1.03395199775696,NaN,,
1.3786027431488,NaN,,
1.72325348854065,-41939.3093730207,,
2.06790399551392,-28896.0181928514,,
2.41255474090576,NaN,,
2.75720548629761,NaN,,
3.10185623168945,NaN,,
3.4465069770813,NaN,,
3.79115748405457,-35232.0181151695,,
4.13580799102783,NaN,,
4.48045873641968,NaN,,
4.82510948181152,NaN,,
5.16976022720337,NaN,,
5.51441097259521,NaN,,
5.85906171798706,NaN,,
6.20371246337891,NaN,,
6.54836320877075,NaN,,
6.8930139541626,NaN,,
7.23766422271729,-28489.0584614883,,
7.58231496810913,NaN,,
7.92696571350098,NaN,,
8.27161598205566,NaN,,
8.61626720428467,NaN,,
8.96091747283936,NaN,,
9.30556869506836,NaN,,
9.65021896362305,NaN,,
9.99487018585205,-47876.4198478293,,
10.3395204544067,NaN,,
10.6841716766357,NaN,,
11.0288219451904,NaN,,
11.3734722137451,NaN,,
11.7181234359741,NaN,,
12.0627737045288,-25678.8289228718,,
12.4074249267578,NaN,,
12.7520751953125,NaN,,
13.0967264175415,NaN,,
13.4413766860962,NaN,,
13.7860279083252,NaN,,
14.1306781768799,NaN,,
14.4753284454346,NaN,,
14.8199796676636,NaN,,
15.1646299362183,NaN,,
15.5092811584473,NaN,,
15.853931427002,NaN,,
16.1985816955566,-37267.0479101601,,
16.5432319641113,-24614.9523545065,,
16.8878841400146,NaN,,
17.2325344085693,-24642.7338906584,,
17.577184677124,NaN,,
17.9218349456787,NaN,,
18.266487121582,-45372.3343102436,,
18.6111373901367,-42220.1223419313,,
18.9557876586914,NaN,,
19.3004379272461,NaN,,
19.6450881958008,NaN,,
19.9897403717041,-45857.052733054,,
20.3343906402588,NaN,,
20.6790409088135,NaN,,
21.0236911773682,NaN,,
21.3683433532715,NaN,,
21.7129936218262,NaN,,
22.0576438903809,NaN,,
22.4022941589355,NaN,,
22.7469444274902,NaN,,
23.0915966033936,NaN,,
23.4362468719482,NaN,,
23.7808971405029,NaN,,
24.1255474090576,-31218.5264821992,,
24.4701995849609,NaN,,
24.8148498535156,-28797.2388557535,,
25.1595001220703,NaN,,
25.504150390625,NaN,,
25.8488006591797,NaN,,
26.193452835083,NaN,,
26.5381031036377,NaN,,
26.8827533721924,-39746.3611487221,,
27.2274036407471,NaN,,
27.5720558166504,NaN,,
27.9167060852051,NaN,,
28.2613563537598,-36261.6873098034,,
28.6060066223145,NaN,,
28.9506568908691,NaN,,
29.2953090667725,-35565.357829944,,
29.6399593353271,NaN,,
29.9846096038818,NaN,,
30.3292598724365,NaN,,
30.6739101409912,NaN,,
31.0185623168945,NaN,,
31.3632125854492,NaN,,
31.7078628540039,NaN,,
32.0525131225586,NaN,,
32.3971633911133,-46354.3189834481,,
32.741813659668,NaN,,
33.0864639282227,NaN,,
33.4311180114746,NaN,,
33.7757682800293,NaN,,
34.120418548584,NaN,,
34.4650688171387,NaN,,
34.8097190856934,-37273.7014187593,,
35.154369354248,-33830.337512886,,
35.4990196228027,-24564.5961770505,,
35.8436698913574,NaN,,
36.1883201599121,NaN,,
36.5329742431641,-25732.7575671539,,
36.8776245117188,-21274.6944611463,,
37.2222747802734,-23552.3292904719,,
37.5669250488281,NaN,,
37.9115753173828,NaN,,
38.2562255859375,NaN,,
38.6008758544922,-26102.5147506578,,
38.9455261230469,-33759.2093771941,,
39.2901763916016,NaN,,
39.6348304748535,NaN,,
39.9794807434082,-12923.2038094423,,
40.3241310119629,-16927.4310139511,,
40.6687812805176,NaN,,
41.0134315490723,-14878.4573339793,,
41.358081817627,-12220.7925278374,,
41.7027320861816,-10039.5806397863,,
42.0473823547363,-12660.9949815936,,
42.392032623291,NaN,,
42.736686706543,-15866.7268101632,,
43.0813369750977,-9401.68471260893,,
43.4259872436523,-7634.64040512425,,
43.770637512207,-7428.61835197308,,
44.1152877807617,-7318.59789550159,,
44.4599380493164,-7260.6635957989,,
44.8045883178711,-7324.1095596155,,
45.1492385864258,-7248.7584065803,,
45.4938888549805,-7100.96847150163,,
45.8385429382324,-6946.39233414888,,
46.1831932067871,-6861.02000084634,,
46.5278434753418,-6783.99391266098,,
46.8724937438965,-6737.71493659721,,
47.2171440124512,-6688.25172957641,,
47.5617942810059,-6583.2832730744,,
47.9064445495605,-6475.10709943983,,
48.2510948181152,-6390.49868489949,,
48.5957450866699,-6377.23879941189,,
48.9403991699219,-6339.08116196759,,
49.2850494384766,-6289.87753899219,,
49.6296997070313,-6259.65198196529,,
49.9743499755859,-6147.00601829165,,
50.3190002441406,-6021.52856803049,,
50.6636505126953,-5914.51063368425,,
51.00830078125,-5868.01471952538,,
51.3529510498047,-5767.59021993256,,
51.6976013183594,-5660.41529904457,,
52.0422554016113,-5626.76020867363,,
52.386905670166,-5541.97564781676,,
52.7315559387207,-5450.73115257269,,
53.0762062072754,-5356.03171729566,,
53.4208564758301,-5279.4104566097,,
53.7655067443848,-5207.09334661953,,
54.1101570129395,-5140.34678663242,,
54.4548072814941,-5097.53202146037,,
54.7994575500488,-5034.83559063891,,
55.1441116333008,-4963.06985405825,,
